category,median_burden,median_freight,median_price,n
electronics,62.3,15.1,21.9,2767
telephony,43.2,15.1,29.99,4545
food_drink,41.7,16.11,38.745000000000005,278
costruction_tools_garden,37.3,17.895,48.945,238
drinks,31.9,15.1,47.49,379
home_appliances,30.8,16.11,47.59,771
garden_tools,29.5,17.67,59.9,4347
housewares,29.0,16.74,59.8,6964
food,28.2,12.94,48.945,510
fashion_bags_accessories,27.7,15.1,49.0,2031
kitchen_dining_laundry_garden_furniture,27.1,31.1,110.0,281
furniture_decor,27.0,16.39,65.49,8334
consoles_games,26.6,15.1,59.0,1137
books_general_interest,26.5,15.56,44.9,553
market_place,26.3,15.2,62.8,311
furniture_living_room,26.1,26.72,103.97,503
books_technical,25.7,15.23,57.49,267
office_furniture,24.4,34.18,144.99,1691
fixed_telephony,23.7,15.1,64.485,264
fashion_shoes,23.4,16.905,77.4,262
industry_commerce_and_business,23.1,23.09,103.0,268
luggage_accessories,23.0,18.43,99.945,1092
art,22.7,15.23,97.5,209
stationery,22.5,16.29,79.0,2517
baby,22.4,16.99,77.98,3065
unknown,22.0,15.23,69.99,1603
construction_tools_construction,22.0,17.45,89.0,929
auto,22.0,17.62,84.9,4235
bed_bath_table,21.9,16.19,79.05,11115
sports_leisure,21.8,16.27,78.0,8641
pet_shop,21.3,16.71,89.7,1947
health_beauty,21.0,15.79,79.9,9670
computers_accessories,20.9,16.0,81.99,7827
toys,19.9,16.11,79.9,4117
construction_tools_lights,19.7,18.43,104.5,304
home_construction,19.6,17.145,95.2,604
small_appliances,18.6,17.95,99.0,679
audio,18.3,15.23,89.0,364
perfumery,17.2,15.13,84.99,3419
musical_instruments,17.1,18.23,94.83500000000001,680
home_confort,15.7,16.81,89.9,434
cool_stuff,15.6,17.65,129.99,3796
air_conditioning,15.3,18.46,139.99,297
home_appliances_2,14.6,36.230000000000004,225.945,238
watches_gifts,11.5,15.82,129.0,5991
agro_industry_and_commerce,10.0,23.68,258.65,212
computers,4.0,41.55,1100.0,203
