category,lines,revenue,med_price,med_freight,med_ratio,med_weight
agro_industry_and_commerce,212,72530.47,258.65,23.68,0.1,2.65
air_conditioning,297,55024.96,139.99,18.46,0.153,2.95
art,209,24202.64,97.5,15.23,0.227,1.7
arts_and_craftmanship,24,1814.01,44.9,12.865,0.306,0.775
audio,364,50688.5,89.0,15.23,0.183,0.4
auto,4235,592720.11,84.9,17.62,0.22,0.9
baby,3065,411764.89,77.98,16.99,0.224,0.7
bed_bath_table,11115,1036988.68,79.05,16.19,0.219,1.275
books_general_interest,553,46856.88,44.9,15.56,0.265,0.5
books_imported,60,4639.85,63.0,10.03,0.19,0.675
books_technical,267,19096.06,57.49,15.23,0.257,0.85
cds_dvds_musicals,14,730.0,45.0,16.11,0.358,0.55
christmas_supplies,153,8800.82,44.9,17.92,0.391,0.6
cine_photo,72,6933.46,72.825,16.86,0.222,0.4
computers,203,222963.13,1100.0,41.55,0.04,2.8
computers_accessories,7827,911954.32,81.99,16.0,0.209,0.3
consoles_games,1137,157465.22,59.0,15.1,0.266,0.25
construction_tools_construction,929,144677.59,89.0,17.45,0.22,1.2
construction_tools_lights,304,41080.0,104.5,18.43,0.197,1.05
construction_tools_safety,194,40544.52,125.575,17.345,0.143,0.6
cool_stuff,3796,635290.85,129.99,17.65,0.156,1.45
costruction_tools_garden,238,25715.89,48.945,17.895,0.373,1.3
costruction_tools_tools,103,15903.95,59.99,18.23,0.222,0.8
diapers_and_hygiene,39,1567.59,37.0,12.92,0.371,0.6
drinks,379,22428.7,47.49,15.1,0.319,0.333
dvds_blu_ray,64,5999.39,19.9,17.705,0.83,0.2
electronics,2767,160246.74,21.9,15.1,0.623,0.2
fashio_female_clothing,48,2803.64,49.495,12.8,0.247,0.475
fashion_bags_accessories,2031,152823.54,49.0,15.1,0.277,0.2
fashion_childrens_clothes,8,569.85,69.945,12.125,0.175,0.21
fashion_male_clothing,132,10797.82,59.9,15.205,0.228,0.6
fashion_shoes,262,23562.77,77.4,16.905,0.234,0.85
fashion_sport,30,2119.51,59.9,15.1,0.264,0.2
fashion_underwear_beach,131,9541.55,59.9,14.6,0.218,0.2
fixed_telephony,264,59583.0,64.485,15.1,0.237,0.394
flowers,33,1110.04,25.99,16.11,0.549,0.85
food,510,29393.41,48.945,12.94,0.282,0.33
food_drink,278,15179.48,38.745,16.11,0.417,0.9
furniture_bedroom,109,20028.78,179.0,38.11,0.253,10.7
furniture_decor,8334,729762.49,65.49,16.39,0.27,1.3
furniture_living_room,503,68916.56,103.97,26.72,0.261,7.5
furniture_mattress_and_upholstery,38,4368.08,85.0,38.97,0.448,1.7
garden_tools,4347,485256.46,59.9,17.67,0.295,1.65
health_beauty,9670,1258681.34,79.9,15.79,0.21,0.4
home_appliances,771,80171.53,47.59,16.11,0.308,0.475
home_appliances_2,238,113317.74,225.945,36.23,0.146,7.5
home_comfort_2,30,760.27,12.9,15.1,1.063,0.7
home_confort,434,58572.04,89.9,16.81,0.157,1.825
home_construction,604,83088.12,95.2,17.145,0.196,0.9
housewares,6964,632248.66,59.8,16.74,0.29,1.205
industry_commerce_and_business,268,39669.61,103.0,23.09,0.231,6.1
kitchen_dining_laundry_garden_furniture,281,46328.37,110.0,31.1,0.271,6.45
la_cuisine,14,2054.99,137.0,25.005,0.188,2.45
luggage_accessories,1092,140429.98,99.945,18.43,0.23,1.25
market_place,311,28378.47,62.8,15.2,0.263,0.527
music,38,6034.35,54.89,16.325,0.273,0.55
musical_instruments,680,191498.88,94.835,18.23,0.171,0.8
office_furniture,1691,273960.7,144.99,34.18,0.244,10.975
party_supplies,43,4485.18,67.9,17.73,0.267,1.25
pc_gamer,9,1545.95,129.99,14.67,0.09,2.839
perfumery,3419,399124.87,84.99,15.13,0.172,0.4
pet_shop,1947,214315.41,89.7,16.71,0.213,0.875
portateis_cozinha_e_preparadores_de_alimentos,15,3968.53,34.9,15.34,0.414,1.2
security_and_services,2,283.29,141.645,20.61,0.148,0.812
signaling_and_security,199,21509.23,75.0,18.23,0.334,0.575
small_appliances,679,190648.58,99.0,17.95,0.186,1.15
small_appliances_home_oven_and_coffee,76,47445.71,587.0,28.98,0.082,3.8
sports_leisure,8641,988048.97,78.0,16.27,0.218,0.7
stationery,2517,230943.23,79.0,16.29,0.225,1.0
tablets_printing_image,83,7528.41,99.0,14.86,0.163,0.3
telephony,4545,323667.53,29.99,15.1,0.432,0.225
toys,4117,483946.6,79.9,16.11,0.199,0.8
unknown,1603,179535.28,69.99,15.23,0.22,0.4
watches_gifts,5991,1205005.68,129.0,15.82,0.115,0.348
