n,p10,p50,p90,p90_over_p10
1264,7.39,7.78,8.72,1.18
517,7.39,7.78,11.85,1.6
522,7.64,9.09,13.0,1.7
235,11.84,12.85,18.23,1.54
1438,11.85,15.1,18.23,1.54
760,14.1,15.1,18.44,1.31
639,14.1,15.23,18.35,1.3
402,15.15,17.06,22.52,1.49
196,16.79,22.41,37.04,2.21
510,17.63,22.85,37.04,2.1
1067,7.39,7.78,8.78,1.19
519,7.39,8.02,12.13,1.64
595,7.53,9.09,13.96,1.85
344,11.85,13.01,17.58,1.48
1485,12.48,15.1,18.31,1.47
919,13.74,15.24,18.93,1.38
796,14.1,15.94,21.9,1.55
468,15.75,17.68,25.63,1.63
217,16.79,22.99,40.06,2.39
405,17.63,24.83,37.46,2.12
1429,7.39,7.78,9.98,1.35
755,7.39,7.94,12.41,1.68
605,7.42,11.85,14.22,1.91
635,11.85,12.99,18.24,1.54
2619,11.85,15.1,18.3,1.54
1906,12.48,15.1,18.56,1.49
1363,14.15,16.71,22.06,1.56
659,15.79,17.91,25.78,1.63
297,16.84,23.56,40.36,2.4
517,17.91,25.38,42.38,2.37
882,7.39,7.78,10.18,1.38
578,7.42,8.27,11.85,1.6
364,7.41,11.85,13.93,1.88
347,11.85,13.0,18.23,1.54
1389,11.85,15.1,18.35,1.55
821,12.79,15.23,18.66,1.46
692,14.1,16.39,22.06,1.56
393,15.79,17.85,25.63,1.62
171,16.79,23.69,37.7,2.25
270,17.63,25.63,44.4,2.52
227,7.39,8.11,10.99,1.49
150,7.43,8.29,11.85,1.6
71,7.39,11.85,13.71,1.86
58,11.85,12.94,18.23,1.54
296,12.69,15.1,18.42,1.45
164,12.83,15.23,18.63,1.45
140,15.1,16.11,20.28,1.34
47,15.79,18.23,29.79,1.89
51,18.89,25.38,42.38,2.24
34,7.43,8.51,11.79,1.59
58,11.9,15.23,19.4,1.63
42,13.54,16.11,20.42,1.51
33,14.3,16.32,22.3,1.56
204,7.39,7.92,9.84,1.33
80,7.39,8.28,11.89,1.61
79,7.78,9.09,13.82,1.78
49,11.85,14.52,18.28,1.54
198,12.72,15.1,18.41,1.45
116,14.1,15.4,18.67,1.32
142,14.1,15.56,18.77,1.33
110,16.76,18.78,25.73,1.54
87,17.63,22.27,37.04,2.1
191,7.44,8.72,10.96,1.47
94,7.78,9.1,13.77,1.77
121,8.3,11.15,14.94,1.8
78,11.85,13.78,18.99,1.6
342,12.79,15.26,19.06,1.49
187,14.52,16.79,20.04,1.38
150,14.46,16.49,20.49,1.42
79,15.79,18.11,23.4,1.48
53,20.81,24.19,39.08,1.88
89,19.24,25.85,43.18,2.24
619,7.71,8.72,10.47,1.36
363,7.88,9.15,12.94,1.64
362,8.35,12.48,16.06,1.92
468,11.85,13.49,17.44,1.47
1326,12.48,15.23,19.0,1.52
889,14.11,16.46,19.81,1.4
563,14.61,16.79,21.03,1.44
380,16.02,19.06,27.97,1.75
225,17.44,24.89,50.96,2.92
480,18.96,27.5,47.05,2.48
678,7.55,8.72,10.96,1.45
298,7.78,9.27,12.68,1.63
283,8.19,12.62,14.68,1.79
409,11.85,12.84,17.4,1.47
1201,12.27,15.23,18.92,1.54
764,13.74,15.86,19.33,1.41
474,14.24,16.79,22.1,1.55
388,15.92,18.33,26.1,1.64
159,18.04,25.16,45.9,2.54
246,18.23,26.54,51.2,2.81
268,7.48,8.72,11.15,1.49
101,7.43,8.9,13.44,1.81
112,8.72,11.85,14.68,1.68
86,11.74,13.61,16.38,1.4
421,12.69,15.3,18.41,1.45
264,14.23,16.11,18.79,1.32
