freight_value,freight_ratio
20.45,0.114
16.05,1.46
8.88,0.178
14.43,0.123
13.77,0.234
17.81,0.223
17.76,0.104
15.1,0.759
41.11,0.257
19.44,0.087
8.72,0.292
8.88,0.131
29.09,0.297
7.78,0.259
14.22,0.203
15.51,0.172
27.46,0.275
16.81,0.21
14.1,1.008
14.22,0.114
25.68,0.214
19.84,0.124
51.48,1.722
37.6,0.289
15.28,0.611
70.14,0.39
45.72,0.254
14.85,0.138
21.58,0.3
8.72,0.108
17.92,0.599
14.81,0.096
29.73,0.142
13.71,0.138
18.25,0.051
14.56,0.127
62.44,0.568
14.1,0.403
15.11,0.505
14.61,0.119
11.26,0.331
34.19,0.37
19.21,1.537
9.09,0.365
14.1,0.353
22.09,0.283
7.78,0.105
32.55,0.136
13.65,0.152
19.09,0.273
14.52,0.29
90.0,0.474
23.39,0.097
16.5,0.156
17.99,0.666
18.23,0.538
10.96,0.44
14.1,0.283
22.85,0.816
7.68,0.066
64.67,0.335
21.92,0.03
16.39,0.182
8.72,0.311
22.39,0.344
16.35,0.071
33.54,0.186
14.79,0.148
10.74,0.057
19.47,0.042
7.78,0.222
12.46,0.07
17.06,0.137
26.9,0.337
17.6,0.44
18.23,0.701
20.33,0.169
8.27,0.18
7.55,0.77
10.16,0.083
24.81,0.207
15.61,0.127
7.78,0.522
12.79,0.853
17.88,0.2
10.1,0.041
10.96,0.694
17.63,0.441
20.0,0.339
7.78,0.674
18.27,0.051
23.6,0.038
12.94,0.324
16.79,0.767
7.78,0.391
7.47,0.25
16.6,0.935
14.31,0.104
15.93,0.134
15.52,0.259
15.1,0.505
12.48,0.298
8.03,0.073
21.15,0.889
35.67,1.368
13.36,0.134
18.63,0.131
12.74,0.224
12.96,0.173
16.32,0.495
17.8,0.228
15.1,0.351
17.92,0.187
22.85,0.519
19.93,0.767
14.31,0.181
41.24,0.606
23.28,0.103
9.34,0.156
11.85,0.32
8.71,0.104
49.87,0.261
13.7,0.149
39.14,0.087
18.93,0.211
11.45,0.096
12.34,0.103
27.2,0.17
18.44,0.109
15.72,0.06
24.7,0.313
12.25,0.074
15.1,0.505
15.37,0.173
20.74,0.02
15.91,0.199
16.05,0.617
9.79,0.07
13.44,0.224
22.85,0.918
26.89,0.586
89.35,0.226
28.82,0.481
35.55,0.142
47.25,0.411
21.19,0.482
27.71,0.185
7.78,0.389
8.3,0.415
13.21,0.12
17.07,0.19
11.85,0.627
7.87,0.611
13.28,0.111
8.29,0.491
14.1,0.441
18.79,0.192
