freight_value,price,distance_km,weight_kg,volume_cm3,freight_ratio,category,customer_state
21.38,399.0,815.97,0.99,3645.0,0.05,computers_accessories,SC
23.49,99.06,492.95,1.65,12500.0,0.24,garden_tools,RJ
17.85,85.9,902.79,1.18,11025.0,0.21,bed_bath_table,ES
18.8,53.0,548.73,0.65,2560.0,0.36,bed_bath_table,MG
30.86,189.99,2437.5,1.67,15600.0,0.16,computers_accessories,PA
17.87,89.0,878.38,5.35,31920.0,0.2,stationery,MS
25.54,170.0,1454.03,0.7,10080.0,0.15,telephony,SP
13.43,110.32,263.38,0.2,990.0,0.12,health_beauty,SP
17.63,16.17,2084.67,0.2,624.0,1.09,garden_tools,PE
119.84,279.0,348.46,17.3,17576.0,0.43,garden_tools,RJ
9.6,111.9,21.62,3.6,31200.0,0.09,furniture_decor,SP
16.31,78.0,921.93,1.35,12000.0,0.21,furniture_decor,RS
12.77,249.9,23.17,1.45,6000.0,0.05,construction_tools_construction,SP
17.63,49.0,2385.13,0.25,640.0,0.36,watches_gifts,CE
15.2,65.0,640.99,0.25,352.0,0.23,watches_gifts,PR
8.72,30.0,31.29,0.08,5916.0,0.29,computers_accessories,SP
14.08,23.65,608.31,0.9,5175.0,0.6,housewares,MG
15.13,53.7,444.92,0.42,1755.0,0.28,watches_gifts,SP
16.11,37.5,405.36,0.96,47916.0,0.43,housewares,SC
13.62,16.9,307.06,0.25,2112.0,0.81,bed_bath_table,SP
16.99,12.0,334.37,0.6,5130.0,1.42,unknown,RJ
14.16,82.99,300.1,1.0,2560.0,0.17,bed_bath_table,SP
7.39,9.99,20.77,0.12,5168.0,0.74,toys,SP
1.98,11.64,151.63,0.2,8448.0,0.17,christmas_supplies,SP
22.09,22.83,1267.89,0.15,4608.0,0.97,computers_accessories,BA
18.46,219.0,747.23,0.45,561.0,0.08,telephony,PB
23.63,150.0,754.62,2.65,5472.0,0.16,auto,RS
7.43,24.9,7.58,0.15,1360.0,0.3,health_beauty,SP
20.98,287.7,492.75,0.7,2320.0,0.07,health_beauty,PR
17.3,153.0,410.08,0.82,7098.0,0.11,computers_accessories,MG
21.43,19.0,867.07,1.88,12167.0,1.13,health_beauty,RS
15.16,59.0,702.52,0.4,864.0,0.26,housewares,RJ
34.57,72.0,1466.74,8.35,59616.0,0.48,garden_tools,BA
7.78,20.49,87.99,0.1,6426.0,0.38,sports_leisure,SP
15.57,199.99,356.26,0.4,5632.0,0.08,perfumery,MG
58.9,149.9,498.56,0.5,880.0,0.39,telephony,SP
33.71,37.8,382.17,6.95,1848.0,0.89,sports_leisure,SP
16.0,178.9,779.41,0.2,1584.0,0.09,musical_instruments,SP
19.89,519.99,369.22,1.15,14520.0,0.04,toys,RJ
20.89,328.0,798.28,1.5,8294.0,0.06,small_appliances,SP
20.75,40.0,1074.89,1.0,7200.0,0.52,bed_bath_table,DF
41.26,40.0,714.36,5.3,31500.0,1.03,furniture_decor,PR
69.93,159.99,2345.25,10.02,68970.0,0.44,office_furniture,MA
15.69,103.9,551.56,1.25,9000.0,0.15,bed_bath_table,RJ
62.26,228.0,709.27,12.0,70875.0,0.27,construction_tools_lights,MG
19.63,49.0,1438.14,1.65,19800.0,0.4,garden_tools,BA
7.78,16.9,14.61,0.05,880.0,0.46,perfumery,SP
9.45,179.49,149.1,0.55,6048.0,0.05,auto,SP
19.66,99.0,429.06,1.55,8960.0,0.2,bed_bath_table,PR
12.72,84.0,358.9,0.17,2808.0,0.15,computers_accessories,PR
8.64,22.5,23.57,0.3,4536.0,0.38,home_construction,SP
43.32,148.0,1080.48,1.25,8349.0,0.29,furniture_decor,DF
16.18,59.4,665.42,0.7,6615.0,0.27,bed_bath_table,PR
14.1,47.9,621.17,0.4,4560.0,0.29,computers_accessories,MG
26.96,59.99,2281.63,0.8,24000.0,0.45,baby,CE
16.12,195.0,684.12,0.46,3240.0,0.08,watches_gifts,MG
22.17,239.9,549.59,1.25,22500.0,0.09,health_beauty,RJ
27.51,111.9,1277.38,1.5,18000.0,0.25,bed_bath_table,MG
24.35,27.99,2464.87,0.3,1232.0,0.87,auto,PA
12.48,16.99,381.15,0.3,3927.0,0.74,small_appliances,MG
21.18,98.9,842.61,2.7,21120.0,0.21,sports_leisure,ES
28.82,59.9,1285.71,1.6,12250.0,0.48,furniture_decor,RS
15.23,34.9,795.74,0.15,960.0,0.44,sports_leisure,SP
18.88,90.0,527.05,1.85,19872.0,0.21,health_beauty,SP
19.33,149.9,416.58,5.33,38988.0,0.13,air_conditioning,SC
9.34,34.9,15.34,0.3,5616.0,0.27,bed_bath_table,SP
14.15,56.99,848.65,0.25,3360.0,0.25,perfumery,RS
20.76,379.99,632.18,0.48,1008.0,0.06,garden_tools,PR
13.08,59.0,74.01,1.62,4080.0,0.22,computers_accessories,SP
23.21,388.0,540.08,11.1,78584.0,0.06,baby,PR
34.26,320.0,1318.88,2.45,9044.0,0.11,health_beauty,SP
15.1,24.99,766.96,0.15,792.0,0.6,telephony,RS
9.07,259.0,91.47,2.55,30400.0,0.04,auto,SP
12.94,39.95,423.47,0.45,5120.0,0.32,home_construction,SP
22.8,155.0,1570.12,0.3,1080.0,0.15,telephony,MT
28.98,89.9,38.5,0.95,11550.0,0.32,toys,SP
7.39,13.9,47.88,0.2,3000.0,0.53,computers_accessories,SP
12.48,18.9,290.58,0.1,3564.0,0.66,electronics,SP
12.79,37.95,241.11,0.5,7803.0,0.34,home_construction,SP
15.23,22.8,821.21,0.25,2450.0,0.67,electronics,GO
17.81,157.0,360.97,9.75,12600.0,0.11,bed_bath_table,SP
18.65,78.0,449.46,0.25,640.0,0.24,watches_gifts,PR
8.17,24.9,19.92,0.05,15625.0,0.33,housewares,SP
8.82,90.0,52.71,0.4,3402.0,0.1,sports_leisure,SP
21.58,114.9,354.0,1.5,13690.0,0.19,bed_bath_table,PR
7.61,49.99,10.91,0.25,2080.0,0.15,housewares,SP
16.45,99.0,511.67,0.85,2520.0,0.17,auto,PR
19.32,50.0,871.72,0.95,12500.0,0.39,bed_bath_table,ES
18.48,54.9,886.36,0.1,816.0,0.34,auto,SC
18.76,169.99,755.42,0.95,3445.0,0.11,housewares,MS
42.44,699.0,2159.58,1.82,33712.0,0.06,cool_stuff,PB
59.14,259.0,1941.92,9.1,59319.0,0.23,housewares,BA
15.1,144.99,256.83,1.05,19008.0,0.1,cool_stuff,SP
19.11,28.99,2377.24,0.2,5000.0,0.66,housewares,CE
14.11,37.99,335.01,0.15,1520.0,0.37,telephony,RJ
17.63,33.0,1310.37,0.45,4199.0,0.53,housewares,SC
19.84,85.4,666.05,1.45,16170.0,0.23,luggage_accessories,ES
18.23,34.99,465.88,0.2,1200.0,0.52,computers_accessories,MG
18.55,64.9,580.3,0.35,4800.0,0.29,computers_accessories,RJ
21.26,59.9,353.76,7.0,32994.0,0.36,housewares,RJ
25.97,99.0,2131.84,0.28,5544.0,0.26,tablets_printing_image,PE
13.91,224.5,304.31,0.51,5304.0,0.06,perfumery,SP
15.1,39.99,411.5,0.35,3800.0,0.38,bed_bath_table,PR
18.23,19.49,330.3,0.2,6859.0,0.94,sports_leisure,RJ
38.05,71.82,1962.09,1.4,8712.0,0.53,fashion_shoes,AL
37.21,42.93,2305.76,0.18,2210.0,0.87,sports_leisure,PA
27.42,159.9,550.89,2.75,16384.0,0.17,home_appliances_2,PR
12.48,29.9,379.11,0.2,1875.0,0.42,computers_accessories,MG
19.53,79.9,623.42,0.55,5390.0,0.24,furniture_decor,SP
8.72,50.0,96.49,0.46,6210.0,0.17,consoles_games,SP
8.27,65.0,82.59,0.3,7680.0,0.13,health_beauty,SP
19.24,284.9,330.18,2.55,58512.0,0.07,bed_bath_table,MG
21.07,18.51,477.94,0.15,640.0,1.14,garden_tools,SC
14.52,38.9,404.87,0.22,624.0,0.37,construction_tools_construction,SP
13.58,79.9,242.99,1.1,10353.0,0.17,bed_bath_table,SP
9.72,129.6,5.57,1.2,17500.0,0.08,toys,SP
7.78,49.9,6.54,0.1,1600.0,0.16,fashion_bags_accessories,SP
13.71,13.77,328.0,0.12,1045.0,1.0,telephony,RJ
20.7,364.0,667.59,0.9,11400.0,0.06,health_beauty,RJ
16.35,84.9,658.36,1.0,4950.0,0.19,books_general_interest,RS
14.1,49.9,514.14,0.13,504.0,0.28,auto,MG
19.47,39.9,826.88,0.3,1920.0,0.49,housewares,RS
16.16,56.99,631.93,0.88,18000.0,0.28,bed_bath_table,SC
11.73,59.9,49.79,7.0,32994.0,0.2,housewares,SP
8.46,99.0,15.95,0.7,1900.0,0.08,art,SP
11.73,59.9,78.13,7.0,32994.0,0.2,housewares,SP
17.61,276.0,472.69,2.12,24948.0,0.06,furniture_decor,PR
14.24,69.99,329.46,0.5,1936.0,0.2,stationery,RJ
12.69,47.9,350.68,0.6,6000.0,0.26,bed_bath_table,SP
7.57,44.0,28.15,0.25,1260.0,0.17,perfumery,SP
20.99,49.9,414.49,1.75,32560.0,0.42,garden_tools,SP
15.55,149.0,0.0,2.95,8000.0,0.1,computers_accessories,PR
14.22,122.9,220.34,1.75,4500.0,0.12,bed_bath_table,SP
18.23,24.0,513.51,0.15,1800.0,0.76,cool_stuff,RJ
16.11,38.4,722.4,0.95,14000.0,0.42,furniture_decor,SC
14.1,17.99,486.74,0.23,3315.0,0.78,auto,MG
15.1,24.5,1186.3,0.15,2304.0,0.62,consoles_games,ES
89.73,231.0,63.8,22.55,187850.0,0.39,signaling_and_security,SP
11.62,73.9,132.85,6.25,31250.0,0.16,stationery,SP
14.2,85.0,107.27,3.1,32760.0,0.17,housewares,SP
18.57,99.2,722.7,0.38,8120.0,0.19,baby,PR
13.59,299.0,352.69,8.5,25200.0,0.04,bed_bath_table,SP
12.22,230.0,211.26,13.05,23625.0,0.05,bed_bath_table,SP
23.37,31.99,1361.0,1.46,7920.0,0.73,toys,BA
23.28,99.9,392.53,1.7,19500.0,0.23,art,RJ
25.19,29.9,421.83,3.45,21141.0,0.84,stationery,PR
