customer_state,seller_state,n,median_freight,median_distance,median_delivery_days
AC,BA,1,51.7,3228.2,66.0
AC,DF,1,26.4,,11.0
AC,GO,1,48.6,2177.9,18.0
AC,MA,1,27.8,2733.8,15.0
AC,MG,10,50.7,2756.6,21.0
AC,MS,2,21.4,1830.4,19.0
AC,PR,1,39.0,2596.3,23.0
AC,RJ,1,33.2,3007.1,20.0
AC,RS,2,37.5,2781.4,17.5
AC,SC,5,45.1,2692.1,14.0
AC,SP,67,30.2,2704.5,17.0
AL,AM,1,35.3,2773.2,90.0
AL,BA,10,17.1,506.4,15.0
AL,CE,2,20.4,687.1,19.0
AL,DF,4,46.2,1495.8,11.0
AL,GO,7,23.2,1562.6,17.0
AL,MA,4,19.4,1221.7,30.5
AL,MG,39,37.0,1452.5,19.5
AL,PB,1,24.9,365.7,31.0
AL,PE,9,15.3,185.9,17.0
AL,PR,46,42.0,2268.0,30.0
AL,RJ,13,23.3,1671.7,23.0
AL,RN,1,15.4,415.2,9.0
AL,RS,10,32.4,2753.0,21.0
AL,SC,11,42.4,2395.4,22.0
AL,SP,286,34.2,1919.6,22.0
AM,BA,1,44.7,2627.9,33.0
AM,CE,1,38.0,2367.2,138.0
AM,GO,2,26.6,1913.1,32.0
AM,MA,1,25.2,1753.8,15.0
AM,MG,15,29.9,2548.3,28.0
AM,PR,15,27.7,2562.9,28.0
AM,RJ,9,32.3,2832.3,21.0
AM,RS,7,37.6,3130.5,13.0
AM,SC,4,55.9,2978.0,27.5
AM,SP,110,24.8,2692.8,25.0
AP,BA,2,35.9,2009.4,20.5
AP,GO,1,27.6,1876.6,24.0
AP,MA,1,21.1,809.4,28.0
AP,MG,3,40.0,2352.5,26.0
AP,PE,2,15.9,2005.3,30.0
AP,PR,3,58.4,2610.7,24.0
AP,RJ,1,27.6,2673.0,30.0
AP,RS,3,33.8,3341.4,16.0
AP,SC,4,62.4,3037.4,29.5
AP,SP,62,26.6,2662.9,23.0
BA,BA,78,13.9,101.1,9.0
BA,CE,3,27.5,1289.0,19.0
BA,DF,39,20.6,1068.8,17.0
BA,ES,30,38.0,861.5,12.0
BA,GO,8,30.6,1231.2,13.0
BA,MA,10,20.1,1327.7,22.0
BA,MG,430,19.8,1024.2,15.0
BA,MS,3,39.3,1770.6,34.0
BA,MT,4,38.6,1741.0,11.5
BA,PB,2,25.9,740.2,14.0
BA,PE,32,24.0,841.6,11.5
BA,PR,167,35.0,1792.4,18.0
BA,RJ,145,26.3,1210.7,14.0
BA,RN,5,26.4,865.0,13.0
BA,RO,1,75.1,2706.3,15.0
BA,RS,49,42.4,2231.1,18.0
BA,SC,85,36.1,1922.7,17.0
BA,SP,2708,19.9,1449.4,17.0
CE,BA,14,29.6,1013.0,10.5
CE,CE,9,63.1,10.1,6.0
CE,DF,15,25.8,1682.5,17.0
CE,ES,4,51.8,1838.6,14.0
CE,GO,13,34.6,1803.4,16.0
CE,MA,9,15.6,647.7,9.0
CE,MG,83,34.6,1892.4,17.0
CE,MT,2,38.6,2191.4,24.0
CE,PB,3,18.4,332.1,7.0
CE,PE,17,17.4,626.6,9.0
CE,PI,1,28.2,556.2,13.0
CE,PR,74,34.9,2664.5,17.5
CE,RJ,59,26.5,2172.1,20.5
CE,RN,4,19.1,411.3,18.0
CE,RS,14,32.5,3178.6,13.0
CE,SC,23,55.4,2809.2,20.0
CE,SP,1134,26.8,2316.7,18.0
DF,BA,19,20.4,1088.0,10.5
DF,CE,1,27.8,1689.8,9.0
DF,DF,61,8.7,15.4,4.0
DF,ES,1,42.0,947.1,18.0
DF,GO,30,14.9,177.7,8.0
DF,MA,28,23.2,1534.9,13.0
DF,MG,221,16.8,618.0,10.0
DF,MS,4,25.6,882.0,10.0
DF,MT,7,18.3,874.8,8.5
DF,PB,1,38.8,1708.2,16.0
DF,PE,16,23.6,1658.6,9.0
DF,PR,178,25.6,1076.6,11.0
DF,RJ,114,16.3,921.6,11.0
DF,RN,1,22.8,1790.4,12.0
DF,RS,50,25.1,1583.1,11.0
DF,SC,75,27.1,1258.9,12.0
DF,SP,1599,16.4,861.2,11.0
ES,BA,13,19.3,850.0,11.0
ES,CE,3,20.4,1843.2,21.0
ES,DF,22,19.0,948.6,20.0
ES,ES,9,22.0,71.4,6.0
ES,GO,5,35.0,1030.1,13.0
ES,MA,13,23.0,2028.1,26.0
ES,MG,206,19.5,444.3,13.0
ES,MT,2,38.5,1877.8,21.5
ES,PB,1,52.5,1536.3,23.0
ES,PE,22,18.1,1409.4,13.0
ES,PR,117,25.9,1184.5,15.0
ES,RJ,111,16.5,412.2,10.0
ES,RO,1,58.5,2531.2,19.0
ES,RS,29,25.7,1519.2,10.0
ES,SC,54,27.2,1165.0,13.0
ES,SE,1,42.9,1246.2,15.0
ES,SP,1647,17.6,761.7,13.0
GO,BA,11,25.7,1240.7,15.0
GO,CE,1,144.3,1850.2,13.0
GO,DF,37,14.0,165.4,8.5
GO,ES,3,53.0,1017.0,14.0
GO,GO,39,12.7,50.9,4.0
GO,MA,17,25.2,1671.3,20.0
GO,MG,173,19.7,664.9,12.0
GO,MS,1,20.4,757.7,11.0
GO,MT,11,18.7,743.8,11.0
GO,PB,1,26.1,1722.8,8.0
GO,PE,13,34.2,1727.2,14.0
GO,PR,94,34.3,960.7,14.0
GO,RJ,127,19.2,930.3,13.0
GO,RS,26,34.2,1440.8,13.0
GO,SC,77,34.2,1126.0,14.0
GO,SE,1,36.3,1550.7,15.0
GO,SP,1701,17.8,794.4,13.0
MA,AM,1,21.2,1660.4,29.0
MA,BA,17,29.5,1316.3,15.0
MA,CE,2,61.6,656.7,21.0
MA,DF,11,24.5,1529.0,19.0
MA,ES,2,25.9,2025.2,15.5
MA,GO,14,23.6,1741.8,15.0
MA,MA,15,9.6,6.5,7.0
MA,MG,72,34.2,1926.7,18.0
MA,MT,3,38.6,1617.4,17.0
MA,PB,1,17.5,1164.5,7.0
MA,PE,5,21.5,1203.0,11.0
MA,PI,1,35.8,516.1,5.0
MA,PR,45,36.7,2555.9,20.0
MA,RJ,31,26.2,2256.1,18.0
MA,RS,15,33.9,3103.5,20.0
MA,SC,23,42.8,2701.6,21.0
MA,SP,566,34.4,2234.9,20.0
MG,AM,1,25.3,2549.2,23.0
MG,BA,55,28.3,978.9,10.0
MG,CE,4,32.1,1918.9,8.5
MG,DF,108,16.0,620.3,8.0
MG,ES,52,33.0,389.5,10.0
MG,GO,100,17.6,661.6,9.0
MG,MA,32,25.0,1937.9,14.5
MG,MG,1709,14.2,241.4,7.0
MG,MS,4,26.4,1164.0,15.5
MG,MT,21,29.0,1372.8,12.0
MG,PA,1,18.5,780.9,14.0
MG,PB,2,34.4,1675.7,9.0
MG,PE,72,27.6,1660.8,10.0
MG,PI,2,39.7,1470.8,14.0
MG,PR,938,19.6,843.1,12.0
MG,RJ,622,16.8,339.8,10.0
MG,RN,1,18.3,560.0,3.0
MG,RS,219,22.8,1299.5,10.0
MG,SC,483,23.4,938.2,12.0
MG,SP,8703,17.6,488.9,10.0
MS,BA,2,57.1,2050.1,18.0
MS,CE,1,85.8,2521.7,12.0
MS,DF,8,18.7,873.5,12.5
MS,GO,9,22.3,704.5,14.0
MS,MA,3,30.1,2290.4,12.0
MS,MG,71,19.8,913.5,15.0
MS,MT,5,19.7,564.3,14.0
