purchase_month,orders,revenue,late_rate
2016-09,1,143.46,100.0
2016-10,265,46490.66,0.8
2016-12,1,19.62,0.0
2017-01,750,127482.37,2.9
2017-02,1653,271239.32,3.0
2017-03,2546,414330.95,4.6
2017-04,2303,390812.4,6.6
2017-05,3546,566851.4,3.0
2017-06,3135,490050.37,3.0
2017-07,3872,566299.08,2.8
2017-08,4193,645832.36,2.9
2017-09,4150,701077.49,4.4
2017-10,4478,751117.01,4.2
2017-11,7289,1153364.2,12.4
2017-12,5513,843078.29,7.5
2018-01,7069,1077887.46,5.7
2018-02,6555,966168.41,14.1
2018-03,7003,1120598.24,19.0
2018-04,6798,1132878.93,4.5
2018-05,6749,1128774.52,6.6
2018-06,6099,1011978.29,1.2
2018-07,6159,1027807.28,3.4
