month,num_reviews,num_orders
2016-10,151.0,208
2016-11,110.0,60
2016-12,50.0,4
2017-01,198.0,283
2017-02,1368.0,1351
2017-03,2331.0,2382
2017-04,2123.0,1849
2017-05,3547.0,3751
2017-06,3446.0,3223
2017-07,3582.0,3455
2017-08,4357.0,4302
2017-09,4150.0,3965
2017-10,4542.0,4494
2017-11,4632.0,4670
2017-12,7794.0,7205
2018-01,6273.0,6597
2018-02,6096.0,5850
2018-03,7656.0,6825
2018-04,7619.0,7850
2018-05,7518.0,7111
2018-06,6366.0,6829
2018-07,5831.0,5839
2018-08,8816.0,8314
2018-09,632.0,56
2018-10,36.0,3
