pct_sellers,cum_revenue
0.032,1.688
0.42,15.844
0.808,23.572
1.228,28.795
1.616,32.889
2.036,36.745
2.423,39.801
2.811,42.524
3.231,45.061
3.619,47.193
4.039,49.303
4.426,51.011
4.847,52.687
5.234,54.128
5.622,55.491
6.042,56.883
6.43,58.103
6.85,59.384
7.237,60.533
7.658,61.738
8.045,62.802
8.433,63.837
8.853,64.901
9.241,65.829
9.661,66.784
10.048,67.635
10.468,68.532
10.856,69.335
11.244,70.111
11.664,70.913
12.052,71.632
12.472,72.39
12.859,73.072
13.279,73.792
13.667,74.436
14.055,75.06
14.475,75.718
14.863,76.315
15.283,76.948
15.67,77.514
16.09,78.11
16.478,78.637
16.866,79.142
17.286,79.668
17.674,80.136
18.094,80.629
18.481,81.069
18.901,81.532
19.289,81.951
19.677,82.36
20.097,82.79
20.485,83.178
20.905,83.584
21.292,83.951
21.68,84.31
22.1,84.69
22.488,85.034
22.908,85.396
23.296,85.725
23.716,86.076
24.103,86.396
24.491,86.705
24.911,87.029
25.299,87.317
25.719,87.619
26.107,87.891
26.527,88.178
26.914,88.437
27.302,88.69
27.722,88.958
28.11,89.2
28.53,89.457
28.918,89.689
29.338,89.933
29.725,90.152
30.113,90.365
30.533,90.589
30.921,90.789
31.341,91.002
31.729,91.193
32.149,91.395
32.536,91.578
32.924,91.756
33.344,91.943
33.732,92.11
34.152,92.286
34.54,92.445
34.96,92.614
35.347,92.766
35.735,92.913
36.155,93.07
36.543,93.212
36.963,93.363
37.351,93.498
37.771,93.642
38.158,93.772
38.546,93.9
38.966,94.036
39.354,94.159
39.774,94.289
40.162,94.407
40.549,94.523
40.969,94.647
41.357,94.76
41.777,94.88
42.165,94.989
42.585,95.104
42.973,95.209
43.36,95.311
43.78,95.42
44.168,95.517
44.588,95.621
44.976,95.715
45.396,95.816
45.784,95.907
46.171,95.996
46.591,96.09
46.979,96.176
47.399,96.267
47.787,96.348
48.207,96.434
48.595,96.512
48.982,96.588
49.402,96.669
49.79,96.743
50.21,96.822
50.598,96.893
51.018,96.969
51.405,97.038
51.793,97.107
52.213,97.18
52.601,97.246
53.021,97.317
53.409,97.381
53.829,97.45
54.216,97.512
54.604,97.572
55.024,97.635
55.412,97.693
55.832,97.754
56.22,97.808
56.64,97.866
57.027,97.918
57.415,97.968
57.835,98.022
58.223,98.071
58.643,98.122
59.031,98.167
59.451,98.216
59.838,98.261
60.226,98.304
60.646,98.35
61.034,98.392
61.454,98.435
61.842,98.475
62.229,98.514
62.649,98.555
63.037,98.592
63.457,98.631
63.845,98.666
64.265,98.704
64.653,98.738
65.04,98.771
65.46,98.806
65.848,98.838
66.268,98.871
66.656,98.902
67.076,98.934
67.464,98.963
67.851,98.992
68.271,99.022
68.659,99.049
69.079,99.078
69.467,99.105
69.887,99.133
70.275,99.158
70.662,99.183
71.082,99.209
71.47,99.233
71.89,99.258
72.278,99.28
72.698,99.304
73.086,99.326
73.473,99.347
73.893,99.369
74.281,99.388
74.701,99.409
75.089,99.428
75.509,99.447
75.897,99.465
76.284,99.483
76.704,99.501
77.092,99.518
77.512,99.536
77.9,99.552
78.32,99.569
78.708,99.585
79.095,99.6
79.515,99.616
79.903,99.63
80.323,99.645
80.711,99.659
81.099,99.672
81.519,99.686
81.906,99.699
82.326,99.712
82.714,99.724
83.134,99.737
83.522,99.749
83.91,99.76
84.33,99.772
84.717,99.783
85.137,99.794
85.525,99.804
85.945,99.815
86.333,99.824
86.721,99.833
87.141,99.843
87.528,99.851
87.948,99.86
88.336,99.868
88.756,99.876
89.144,99.884
89.532,99.891
89.952,99.899
90.339,99.905
90.759,99.913
91.147,99.919
91.567,99.925
91.955,99.931
92.342,99.937
92.763,99.942
93.15,99.947
93.57,99.953
93.958,99.957
94.378,99.962
94.766,99.966
95.153,99.97
95.574,99.975
95.961,99.978
96.381,99.982
96.769,99.985
97.189,99.987
97.577,99.99
97.964,99.992
98.384,99.994
98.772,99.996
99.192,99.998
99.58,99.999
100.0,100.0
