customer_state,orders,median_delivery_days,late_rate,median_freight,median_distance,median_burden
AC,80,18.0,3.8,35.74,2705.9,34.8
AL,397,22.0,21.4,33.16,1915.0,32.9
AM,145,25.0,2.8,26.89,2692.7,41.0
AP,67,24.0,3.0,29.78,2661.5,33.0
BA,3256,16.0,12.2,20.8,1426.7,29.5
CE,1279,18.0,13.8,26.97,2293.5,32.3
DF,2080,11.0,5.7,17.13,865.4,24.8
ES,1995,13.0,10.7,18.05,762.0,25.6
GO,1957,13.0,6.5,18.0,803.7,25.7
MA,717,19.0,17.4,34.15,2195.4,39.2
MG,11354,10.0,4.6,17.6,491.0,24.6
MS,701,13.0,9.7,18.13,859.2,25.1
MT,886,16.0,6.0,22.2,1332.4,29.0
PA,946,21.0,11.2,27.9,2388.5,34.3
PB,517,18.0,10.4,34.29,2171.8,36.7
PE,1593,15.0,9.6,26.96,2084.6,32.7
PI,476,16.0,13.9,34.3,2061.6,33.3
PR,4923,10.0,4.0,17.23,427.0,25.6
RJ,12350,12.0,12.1,17.54,394.5,24.5
RN,474,16.0,9.3,34.15,2263.4,32.0
RO,243,17.0,2.9,34.7,2305.2,39.8
RR,41,25.0,12.2,31.81,3301.6,39.6
RS,5344,13.0,6.1,17.88,855.6,26.3
SC,3546,13.0,8.2,17.78,534.6,25.4
SE,335,18.0,15.2,29.94,1722.5,34.8
SP,40494,7.0,4.5,12.96,163.0,19.3
TO,274,15.0,9.9,29.1,1477.8,36.4
