weight_kg,price
2.2,147.7
5.28,109.66
0.3,59.0
0.1,59.9
1.5,32.64
1.2,49.9
4.1,99.9
0.4,35.9
1.2,69.4
2.2,149.0
0.32,76.0
0.45,99.0
5.95,143.8
1.17,139.9
2.6,1649.99
0.4,239.9
0.13,148.0
0.42,190.83
0.12,23.77
0.15,16.9
4.3,109.9
1.6,129.99
0.45,49.9
1.32,39.9
0.6,19.9
2.85,93.0
1.48,75.5
2.35,79.0
9.95,129.0
1.85,59.9
0.55,42.9
0.44,145.0
0.7,122.99
0.4,54.9
2.0,99.0
22.35,279.9
3.1,98.75
6.5,169.0
10.15,144.9
1.4,109.9
0.65,55.9
0.1,10.99
2.6,299.0
1.5,129.99
3.0,689.99
0.62,149.0
16.35,2090.0
6.65,59.97
0.9,224.9
2.2,64.9
0.8,39.9
1.55,128.9
0.15,21.9
0.25,19.9
0.25,40.9
7.0,89.0
0.25,29.0
0.15,49.9
0.36,199.9
1.6,151.2
2.6,199.0
0.4,64.99
0.14,59.0
0.7,67.0
0.22,83.49
1.88,39.9
18.0,599.0
0.6,76.99
0.55,33.99
0.65,290.0
0.2,110.0
0.55,79.99
0.55,99.9
1.25,149.0
0.9,84.9
0.5,42.9
1.4,49.9
1.28,48.9
1.5,53.9
0.15,9.5
0.58,19.2
1.9,119.9
3.28,35.0
3.4,75.0
4.05,299.9
2.5,193.0
2.6,109.9
0.15,9.0
0.2,38.99
0.1,24.99
0.2,31.9
0.18,37.9
0.35,39.99
6.85,85.9
0.9,53.8
16.13,179.9
0.15,18.9
0.55,36.0
1.15,69.9
0.5,79.9
4.34,151.9
0.15,33.9
0.1,26.0
9.72,139.99
0.7,170.0
0.34,213.9
0.9,39.9
1.7,149.9
0.7,104.9
0.3,16.24
0.2,20.0
1.87,29.5
0.15,8.99
1.5,49.9
0.15,55.0
0.15,18.9
0.3,24.99
1.15,295.0
1.4,115.0
0.8,59.9
1.82,89.9
0.3,39.9
0.3,26.9
0.12,59.0
0.1,19.0
0.89,119.99
1.7,59.9
0.12,13.47
2.45,169.9
4.3,84.0
7.85,45.0
0.1,32.0
6.8,539.0
0.6,195.5
0.18,180.0
0.48,120.0
0.4,109.9
1.96,109.0
1.0,69.0
2.84,179.0
1.1,40.0
2.2,110.0
0.7,59.9
0.45,39.9
0.2,28.0
1.35,99.9
0.5,114.9
0.55,95.0
13.72,329.9
0.15,12.9
2.35,69.9
1.05,144.99
0.6,50.0
0.1,67.91
0.17,77.0
10.2,219.9
4.2,49.9
0.45,67.99
0.55,35.33
1.3,64.0
0.1,74.65
0.49,110.0
0.2,199.0
0.2,47.0
0.1,23.99
1.55,49.0
2.4,143.0
16.13,192.99
0.62,62.0
0.58,120.0
13.39,116.99
6.5,499.0
2.8,71.0
1.9,127.0
0.75,99.18
0.15,10.9
2.1,229.99
0.95,105.4
0.15,7.0
8.4,249.9
0.2,39.9
10.7,159.99
0.1,23.99
0.18,149.99
0.45,169.9
0.4,129.9
2.0,61.2
0.25,54.6
6.05,279.9
0.1,19.9
0.15,19.9
1.6,129.99
0.95,24.9
0.25,99.99
0.1,181.01
0.6,199.9
0.6,189.9
0.7,47.0
0.8,45.9
0.35,29.89
2.15,144.9
0.15,29.99
0.6,84.99
0.48,48.0
7.95,88.9
0.36,227.9
1.7,129.9
2.2,89.99
0.1,11.0
0.6,5.4
6.05,120.0
12.3,69.9
1.8,116.9
0.92,98.0
